variable,label
no,母體流水號
w1,家數權數
w2,人數權數1
w3,人數權數2
industry,跑表-行業(行業別)
scale,跑表-規模
q1,1.貴單位113年6月基層勞工之缺工情形與上(112)年6月比較結果為何?(單選)   
q2,2.貴單位在人力運用上除引進移工外，尚有其他因應人力不足之措施嗎?
q2a_1,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(1)增加僱用本國勞工
q2a_2,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(2)運用派遣人力
q2a_3,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(3)增加加班時數
q2a_4,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(4)提高工資或加班費等
q2a_5,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(5)加強職訓提高生產力
q2a_6,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(6)採委外方式
q2a_7,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(7)採自動化生產
q2a_8,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(8)生產線外移
q2a_9,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(9)縮減業務
q2a_10,2_1.貴單位在人力運用上除引進移工外，其他因應措施為何?(10)其他
q3,"3.貴單位有申請「外加就業安定費附加移工數額」(以下簡稱加碼制)，亦即額外繳納就業安定費3,000元、5,000元、7,000元、9,000元，以提高移工名額嗎?  (遺漏併入「沒有」)"
aq3,"3.貴單位有申請「外加就業安定費附加移工數額」(以下簡稱加碼制)，亦即額外繳納就業安定費3,000元、5,000元、7,000元、9,000元，以提高移工名額嗎?   (遺漏未併入「沒有」)"
aq3a,3-1.申請到最高的附加比率為?
q3b,3-2.貴單位申請的附加移工有足額引進嗎?
q3c_1,3-2B.未足額引進附加移工原因為?(1)引進移工已符合人力需要
q3c_2,3-2B.未足額引進附加移工原因為?(2)訂單未符合預期增加
q3c_3,3-2B.未足額引進附加移工原因為?(3)刻正辦理相關引進程序
q3c_4,3-2B.未足額引進附加移工原因為?(4)已招募足額本國勞工
q3c_5,3-2B.未足額引進附加移工原因為?(5)司營運規模減縮
q3c_6,3-2B.未足額引進附加移工原因為?(6)生產流程自動化已可降低人力
q3c_7,3-2B.未足額引進附加移工原因為?(7)成本考量
q3c_8,3-2B.未足額引進附加移工原因為?(8)其他
q3e_1,3_2.未申請附加移工原因為?(1)引進移工已符合人力需要
q3e_2,3_2.未申請附加移工原因為?(2)訂單未符合預期增加
q3e_3,3_2.未申請附加移工原因為?(3)已招募足額本國勞工
q3e_4,3_2.未申請附加移工原因為?(4)公司營運規模減縮
q3e_5,3_2.未申請附加移工原因為?(5)生產流程自動化已可降低人力
q3e_6,3_2.未申請附加移工原因為?(6)成本考量
q3e_7,3_2.未申請附加移工原因為?(7)不符合申請資格
q3e_8,3_2.未申請附加移工原因為?(8)其他
q4,4.貴單位所僱用之移工在過去六年中(107年7月至113年6月)有發生行蹤不明失聯情形嗎?
q4a_1, 4-1.貴單位認為其行蹤不明失聯原因為何?(1)受其他人慫恿、轉介
q4a_2, 4-1.貴單位認為其行蹤不明失聯原因為何?(2)賭博欠債或犯法逃逸
q4a_3, 4-1.貴單位認為其行蹤不明失聯原因為何?(3)聘僱期限即將屆滿
q4a_4, 4-1.貴單位認為其行蹤不明失聯原因為何?(4)希望獲得較高待遇
q4a_5, 4-1.貴單位認為其行蹤不明失聯原因為何?(5)工作、生活環境無法適應
q4a_6, 4-1.貴單位認為其行蹤不明失聯原因為何?(6)與同事相處不融洽
q4a_7, 4-1.貴單位認為其行蹤不明失聯原因為何?(7)勞資爭議
q4a_8, 4-1.貴單位認為其行蹤不明失聯原因為何?(8)其他
q4a_9, 4-1.貴單位認為其行蹤不明失聯原因為何? 不知道
q4b,4-2.發生移工行蹤不明失聯時，貴單位有其他因應人力不足之措施嗎?
q4bb_1,4-2_2.因應措施為何?(1)增加僱用本國勞工
